Rank,US City,US State,Population 2024,Population 2020
1,New York,New York,8097282,8740292
2,Los Angeles,California,3795936,3895848
3,Chicago,Illinois,2638159,2743329
4,Houston,Texas,2319119,2299269
5,Phoenix,Arizona,1662607,1612459
6,Philadelphia,Pennsylvania,1533828,1600684
7,San Antonio,Texas,1513974,1439257
8,San Diego,California,1388996,1386292
9,Dallas,Texas,1302753,1303212
10,Jacksonville,Florida,997164,951880
11,Fort Worth,Texas,996756,923602
12,Austin,Texas,984567,965827
13,San Jose,California,956433,1009319
14,Charlotte,North Carolina,923164,875752
15,Columbus,Ohio,915427,906418
16,Indianapolis (balance),Indiana,876665,887177
17,San Francisco,California,788478,870518
18,Seattle,Washington,759915,740565
19,Denver,Colorado,716234,717606
20,Oklahoma City,Oklahoma,709330,683078
